Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Adopte,Adoptes,Adopte,Adoptemos,Adoptedes,Adopten
Estude,Estudes,Estude,Estudemos,Estudedes,Estuden
Convoque,Convoques,Convoque,Convoquemos,Convoquedes,Convoquen
Subliñe,Subliñes,Subliñe,Subliñemos,Subliñedes,Subliñen
Esperte,Espertes,Esperte,Espertemos,Espertedes,Esperten
Instale,Instales,Instale,Instalemos,Instaledes,Instalen
Custe,Custes,Custe,Custemos,Custedes,Custen
Estenda,Estendas,Estenda,Estendamos,Estendades,Estendan
Someta,Sometas,Someta,Sometamos,Sometades,Sometan
Promova,Promovas,Promova,Promovamos,Promovades,Promovan
Interprete,Interpretes,Interprete,Interpretemos,Interpretedes,Interpreten
Traslade,Traslades,Traslade,Traslademos,Trasladedes,Trasladen
Atravese,Atraveses,Atravese,Atravesemos,Atravesedes,Atravesen
Rodee,Rodees,Rodee,Rodeemos,Rodeedes,Rodeen
Conceda,Concedas,Conceda,Concedamos,Concedades,Concedan
Limite,Limites,Limite,Limitemos,Limitedes,Limiten
Caiba,Caibas,Caiba,Caibamos,Caibades,Caiban
Mereza,Merezas,Mereza,Merezamos,Merezades,Merezan
Dubide,Dubides,Dubide,Dubidemos,Dubidedes,Dubiden
Sosta,Sostas,Sosta,Sostamos,Sostades,Sostan
Separe,Separes,Separe,Separemos,Separedes,Separen
Protexa,Protexas,Protexa,Protexamos,Protexades,Protexan
Prenda,Prendas,Prenda,Prendamos,Prendades,Prendan
Cobre,Cobres,Cobre,Cobremos,Cobredes,Cobren
Estudie,Estudies,Estudie,Estudiemos,Estudiedes,Estudien
Expoña,Expoñas,Expoña,Expoñamos,Expoñades,Expoñan
Perciba,Percibas,Perciba,Percibamos,Percibades,Perciban
Admita,Admitas,Admita,Admitamos,Admitades,Admitan
Derive,Derives,Derive,Derivemos,Derivedes,Deriven
Soñe,Soñes,Soñe,Soñemos,Soñedes,Soñen
Monte,Montes,Monte,Montemos,Montedes,Monten
Xustifique,Xustifiques,Xustifique,Xustifiquemos,Xustifiquedes,Xustifiquen
Cite,Cites,Cite,Citemos,Citedes,Citen
Emita,Emitas,Emita,Emitamos,Emitades,Emitan
Comunique,Comuniques,Comunique,Comuniquemos,Comuniquedes,Comuniquen
Enfronte,Enfrontes,Enfronte,Enfrontemos,Enfrontedes,Enfronten
Compoña,Compoñas,Compoña,Compoñamos,Compoñades,Compoñan
Reflicta,Reflictas,Reflicta,Reflictamos,Reflictades,Reflictan
Respecte,Respectes,Respecte,Respectemos,Respectedes,Respecten
Valore,Valores,Valore,Valoremos,Valoredes,Valoren
Afaste,Afastes,Afaste,Afastemos,Afastedes,Afasten
Figure,Figures,Figure,Figuremos,Figuredes,Figuren
Interva,Intervas,Interva,Intervamos,Intervades,Intervan
Critique,Critiques,Critique,Critiquemos,Critiquedes,Critiquen
Roube,Roubes,Roube,Roubemos,Roubedes,Rouben
Acceda,Accedas,Acceda,Accedamos,Accedades,Accedan
Transmita,Transmitas,Transmita,Transmitamos,Transmitades,Transmitan
Volte,Voltes,Volte,Voltemos,Voltedes,Volten
Distinga,Distingas,Distinga,Distingamos,Distingades,Distingan
Dure,Dures,Dure,Duremos,Duredes,Duren
Probe,Probes,Probe,Probemos,Probedes,Proben
Escape,Escapes,Escape,Escapemos,Escapedes,Escapen
Despida,Despidas,Despida,Despidamos,Despidades,Despidan
Atreva,Atrevas,Atreva,Atrevamos,Atrevades,Atrevan
Confíe,Confíes,Confíe,Confiemos,Confiedes,Confíen
Ame,Ames,Ame,Amemos,Amedes,Amen
Aposte,Apostes,Aposte,Apostemos,Apostedes,Aposten
Tenda,Tendas,Tenda,Tendamos,Tendades,Tendan
Devolva,Devolvas,Devolva,Devolvamos,Devolvades,Devolvan
Pouse,Pouses,Pouse,Pousemos,Pousedes,Pousen
