Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Ocorría,Ocorrían
Intentaba,Intentabas,Intentaba,Intentabamos,Intentabades,Intentaban
Mataba,Matabas,Mataba,Matabamos,Matabades,Mataban
Mandaba,Mandabas,Mandaba,Mandabamos,Mandabades,Mandaban
Encontraba,Encontrabas,Encontraba,Encontrabamos,Encontrabades,Encontraban
Decataba,Decatabas,Decataba,Decatabamos,Decatabades,Decataban
Durmía,Durmías,Durmía,Durmiamos,Durmiades,Durmían
Acadaba,Acadabas,Acadaba,Acadabamos,Acadabades,Acadaban
Mostraba,Mostrabas,Mostraba,Mostrabamos,Mostrabades,Mostraban
Comprendía,Comprendías,Comprendía,Comprendiamos,Comprendiades,Comprendían
Preparaba,Preparabas,Preparaba,Preparabamos,Preparabades,Preparaban
Lograba,Lograbas,Lograba,Lograbamos,Lograbades,Lograban
Gardaba,Gardabas,Gardaba,Gardabamos,Gardabades,Gardaban
Detía,Detías,Detía,Detiamos,Detiades,Detían
Necesitaba,Necesitabas,Necesitaba,Necesitabamos,Necesitabades,Necesitaban
Apuntaba,Apuntabas,Apuntaba,Apuntabamos,Apuntabades,Apuntaban
Faltaba,Faltabas,Faltaba,Faltabamos,Faltabades,Faltaban
Aceptaba,Aceptabas,Aceptaba,Aceptabamos,Aceptabades,Aceptaban
Aproveitaba,Aproveitabas,Aproveitaba,Aproveitabamos,Aproveitabades,Aproveitaban
Afectaba,Afectabas,Afectaba,Afectabamos,Afectabades,Afectaban
Constituía,Constituías,Constituía,Constituïamos,Constituïades,Constituían
Superaba,Superabas,Superaba,Superabamos,Superabades,Superaban
Coidaba,Coidabas,Coidaba,Coidabamos,Coidabades,Coidaban
Paraba,Parabas,Paraba,Parabamos,Parabades,Paraban
Repetía,Repetías,Repetía,Repetiamos,Repetiades,Repetían
Actuaba,Actuabas,Actuaba,Actuabamos,Actuabades,Actuaban
Reducía,Reducías,Reducía,Reduciamos,Reduciades,Reducían
Desaparecía,Desaparecías,Desaparecía,Desapareciamos,Desapareciades,Desaparecían
Aprendía,Aprendías,Aprendía,Aprendiamos,Aprendiades,Aprendían
Prevía,Prevías,Prevía,Previamos,Previades,Prevían
Usaba,Usabas,Usaba,Usabamos,Usabades,Usaban
Oía,Oías,Oía,Oïamos,Oïades,Oían
Apoiaba,Apoiabas,Apoiaba,Apoiabamos,Apoiabades,Apoiaban
Negaba,Negabas,Negaba,Negabamos,Negabades,Negaban
Relacionaba,Relacionabas,Relacionaba,Relacionabamos,Relacionabades,Relacionaban
Sucedía,Sucedían
Organizaba,Organizabas,Organizaba,Organizabamos,Organizabades,Organizaban
Marcaba,Marcabas,Marcaba,Marcabamos,Marcabades,Marcaban
Construía,Construías,Construía,Construïamos,Construïades,Construían
Recuperaba,Recuperabas,Recuperaba,Recuperabamos,Recuperabades,Recuperaban
Ría,Rías,Ría,Riamos,Riades,Rían
Comentaba,Comentabas,Comentaba,Comentabamos,Comentabades,Comentaban
Demostraba,Demostrabas,Demostraba,Demostrabamos,Demostrabades,Demostraban
Vendía,Vendías,Vendía,Vendiamos,Vendiades,Vendían
Obrigaba,Obrigabas,Obrigaba,Obrigabamos,Obrigabades,Obrigaban
Aumentaba,Aumentabas,Aumentaba,Aumentabamos,Aumentabades,Aumentaban
Abandonaba,Abandonabas,Abandonaba,Abandonabamos,Abandonabades,Abandonaban
Manifestaba,Manifestabas,Manifestaba,Manifestabamos,Manifestabades,Manifestaban
Compartía,Compartías,Compartía,Compartiamos,Compartiades,Compartían
Fuxía,Fuxías,Fuxía,Fuxiamos,Fuxiades,Fuxían
Iniciaba,Iniciabas,Iniciaba,Iniciabamos,Iniciabades,Iniciaban
Xurdía,Xurdías,Xurdía,Xurdiamos,Xurdiades,Xurdían
Acudía,Acudías,Acudía,Acudiamos,Acudiades,Acudían
Acontecía,Acontecían
Puña,Puñas,Puña,Puñamos,Puñades,Puñan
Imaxinaba,Imaxinabas,Imaxinaba,Imaxinabamos,Imaxinabades,Imaxinaban
Berraba,Berrabas,Berraba,Berrabamos,Berrabades,Berraban
Comprobaba,Comprobabas,Comprobaba,Comprobabamos,Comprobabades,Comprobaban
Atendía,Atendías,Atendía,Atendiamos,Atendiades,Atendían
Propoñía,Propoñías,Propoñía,Propoñiamos,Propoñiades,Propoñían
Analizaba,Analizabas,Analizaba,Analizabamos,Analizabades,Analizaban
Permanecía,Permanecías,Permanecía,Permaneciamos,Permaneciades,Permanecían
Cubría,Cubrías,Cubría,Cubriamos,Cubriades,Cubrían
Camiñaba,Camiñabas,Camiñaba,Camiñabamos,Camiñabades,Camiñaban
Insistía,Insistías,Insistía,Insistiamos,Insistiades,Insistían
Bebía,Bebías,Bebía,Bebiamos,Bebiades,Bebían
Alcanzaba,Alcanzabas,Alcanzaba,Alcanzabamos,Alcanzabades,Alcanzaban
Enchía,Enchías,Enchía,Enchiamos,Enchiades,Enchían
Colocaba,Colocabas,Colocaba,Colocabamos,Colocabades,Colocaban
Procuraba,Procurabas,Procuraba,Procurabamos,Procurabades,Procuraban
Aprobaba,Aprobabas,Aprobaba,Aprobabamos,Aprobabades,Aprobaban
Notaba,Notabas,Notaba,Notabamos,Notabades,Notaban
Aplicaba,Aplicabas,Aplicaba,Aplicabamos,Aplicabades,Aplicaban
Correspondía,Correspondías,Correspondía,Correspondiamos,Correspondiades,Correspondían
Medraba,Medrabas,Medraba,Medrabamos,Medrabades,Medraban
Acordaba,Acordabas,Acordaba,Acordabamos,Acordabades,Acordaban
Valía,Valías,Valía,Valiamos,Valiades,Valían
Interesaba,Interesabas,Interesaba,Interesabamos,Interesabades,Interesaban
Levantaba,Levantabas,Levantaba,Levantabamos,Levantabades,Levantaban
Preocupaba,Preocupabas,Preocupaba,Preocupabamos,Preocupabades,Preocupaban
Definía,Definías,Definía,Definiamos,Definiades,Definían
Importaba,Importabas,Importaba,Importabamos,Importabades,Importaban
Xeraba,Xerabas,Xeraba,Xerabamos,Xerabades,Xeraban
Confirmaba,Confirmabas,Confirmaba,Confirmabamos,Confirmabades,Confirmaban
Visitaba,Visitabas,Visitaba,Visitabamos,Visitabades,Visitaban
Desexaba,Desexabas,Desexaba,Desexabamos,Desexabades,Desexaban
Melloraba,Mellorabas,Melloraba,Mellorabamos,Mellorabades,Melloraban
Significaba,Significabas,Significaba,Significabamos,Significabades,Significaban
Entregaba,Entregabas,Entregaba,Entregabamos,Entregabades,Entregaban
Impedía,Impedías,Impedía,Impediamos,Impediades,Impedían
Denunciaba,Denunciabas,Denunciaba,Denunciabamos,Denunciabades,Denunciaban
Cantaba,Cantabas,Cantaba,Cantabamos,Cantabades,Cantaban
Declaraba,Declarabas,Declaraba,Declarabamos,Declarabades,Declaraban
Expresaba,Expresabas,Expresaba,Expresabamos,Expresabades,Expresaban
Esixía,Esixías,Esixía,Esixiamos,Esixiades,Esixían
Convencía,Convencías,Convencía,Convenciamos,Convenciades,Convencían
Asumía,Asumías,Asumía,Asumiamos,Asumiades,Asumían
Unía,Unías,Unía,Uniamos,Uniades,Unían
Dependía,Dependías,Dependía,Dependiamos,Dependiades,Dependían
Rexistraba,Rexistrabas,Rexistraba,Rexistrabamos,Rexistrabades,Rexistraban
Baseaba,Baseabas,Baseaba,Baseabamos,Baseabades,Baseaban
Fixaba,Fixabas,Fixaba,Fixabamos,Fixabades,Fixaban
Coincidía,Coincidías,Coincidía,Coincidiamos,Coincidiades,Coincidían
Funcionaba,Funcionabas,Funcionaba,Funcionabamos,Funcionabades,Funcionaban
Elixía,Elixías,Elixía,Elixiamos,Elixiades,Elixían
Vestía,Vestías,Vestía,Vestiamos,Vestiades,Vestían
Choraba,Chorabas,Choraba,Chorabamos,Chorabades,Choraban
Sorría,Sorrías,Sorría,Sorriamos,Sorriades,Sorrían
Reunía,Reunías,Reunía,Reuniamos,Reuniades,Reunían
Prefería,Preferías,Prefería,Preferiamos,Preferiades,Preferían
Advertía,Advertías,Advertía,Advertiamos,Advertiades,Advertían
Avanzaba,Avanzabas,Avanzaba,Avanzabamos,Avanzabades,Avanzaban
Contestaba,Contestabas,Contestaba,Contestabamos,Contestabades,Contestaban
Calaba,Calabas,Calaba,Calabamos,Calabades,Calaban
Soaba,Soabas,Soaba,Soabamos,Soabades,Soaban
Mercaba,Mercabas,Mercaba,Mercabamos,Mercabades,Mercaban
Adoitaba,Adoitabas,Adoitaba,Adoitabamos,Adoitabades,Adoitaban
Solicitaba,Solicitabas,Solicitaba,Solicitabamos,Solicitabades,Solicitaban
Contemplaba,Contemplabas,Contemplaba,Contemplabamos,Contemplabades,Contemplaban
Deitaba,Deitabas,Deitaba,Deitabamos,Deitabades,Deitaban
Gozaba,Gozabas,Gozaba,Gozabamos,Gozabades,Gozaban
