Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Pretenderei,Pretenderás,Pretenderá,Pretenderemos,Pretenderedes,Pretenderán
Correrei,Correrás,Correrá,Correremos,Correredes,Correrán
Ficarei,Ficarás,Ficará,Ficaremos,Ficaredes,Ficarán
Representarei,Representarás,Representará,Representaremos,Representaredes,Representarán
Acompañarei,Acompañarás,Acompañará,Acompañaremos,Acompañaredes,Acompañarán
Ocuparei,Ocuparás,Ocupará,Ocuparemos,Ocuparedes,Ocuparán
Precisarei,Precisarás,Precisará,Precisaremos,Precisaredes,Precisarán
Erguerei,Erguerás,Erguerá,Ergueremos,Ergueredes,Erguerán
Semellarei,Semellarás,Semellará,Semellaremos,Semellaredes,Semellarán
Ollarei,Ollarás,Ollará,Ollaremos,Ollaredes,Ollarán
Defenderei,Defenderás,Defenderá,Defenderemos,Defenderedes,Defenderán
Referirei,Referirás,Referirá,Referiremos,Referiredes,Referirán
Informarei,Informarás,Informará,Informaremos,Informaredes,Informarán
Recordarei,Recordarás,Recordará,Recordaremos,Recordaredes,Recordarán
Pecharei,Pecharás,Pechará,Pecharemos,Pecharedes,Pecharán
Establecerei,Establecerás,Establecerá,Estableceremos,Estableceredes,Establecerán
Obterei,Obterás,Obterá,Obteremos,Obteredes,Obterán
Descubrirei,Descubrirás,Descubrirá,Descubriremos,Descubriredes,Descubrirán
Anunciarei,Anunciarás,Anunciará,Anunciaremos,Anunciaredes,Anunciarán
Provocarei,Provocarás,Provocará,Provocaremos,Provocaredes,Provocarán
Sufrirei,Sufrirás,Sufrirá,Sufriremos,Sufriredes,Sufrirán
Tentarei,Tentarás,Tentará,Tentaremos,Tentaredes,Tentarán
Observarei,Observarás,Observará,Observaremos,Observaredes,Observarán
Empregarei,Empregarás,Empregará,Empregaremos,Empregaredes,Empregarán
Dedicarei,Dedicarás,Dedicará,Dedicaremos,Dedicaredes,Dedicarán
Ocorrerá,Ocorrerán
Intentarei,Intentarás,Intentará,Intentaremos,Intentaredes,Intentarán
Matarei,Matarás,Matará,Mataremos,Mataredes,Matarán
Mandarei,Mandarás,Mandará,Mandaremos,Mandaredes,Mandarán
Encontrarei,Encontrarás,Encontrará,Encontraremos,Encontraredes,Encontrarán
Decatarei,Decatarás,Decatará,Decataremos,Decataredes,Decatarán
Durmirei,Durmirás,Durmirá,Durmiremos,Durmiredes,Durmirán
Acadarei,Acadarás,Acadará,Acadaremos,Acadaredes,Acadarán
Mostrarei,Mostrarás,Mostrará,Mostraremos,Mostraredes,Mostrarán
Comprenderei,Comprenderás,Comprenderá,Comprenderemos,Comprenderedes,Comprenderán
Prepararei,Prepararás,Preparará,Prepararemos,Prepararedes,Prepararán
Lograrei,Lograrás,Logrará,Lograremos,Lograredes,Lograrán
Gardarei,Gardarás,Gardará,Gardaremos,Gardaredes,Gardarán
Deterei,Deterás,Deterá,Deteremos,Deteredes,Deterán
Necesitarei,Necesitarás,Necesitará,Necesitaremos,Necesitaredes,Necesitarán
Apuntarei,Apuntarás,Apuntará,Apuntaremos,Apuntaredes,Apuntarán
Faltarei,Faltarás,Faltará,Faltaremos,Faltaredes,Faltarán
Aceptarei,Aceptarás,Aceptará,Aceptaremos,Aceptaredes,Aceptarán
Aproveitarei,Aproveitarás,Aproveitará,Aproveitaremos,Aproveitaredes,Aproveitarán
Afectarei,Afectarás,Afectará,Afectaremos,Afectaredes,Afectarán
Constituirei,Constituirás,Constituirá,Constituiremos,Constituiredes,Constituirán
Superarei,Superarás,Superará,Superaremos,Superaredes,Superarán
Coidarei,Coidarás,Coidará,Coidaremos,Coidaredes,Coidarán
Pararei,Pararás,Parará,Pararemos,Pararedes,Pararán
Repetirei,Repetirás,Repetirá,Repetiremos,Repetiredes,Repetirán
Actuarei,Actuarás,Actuará,Actuaremos,Actuaredes,Actuarán
Reducirei,Reducirás,Reducirá,Reduciremos,Reduciredes,Reducirán
Desaparecerei,Desaparecerás,Desaparecerá,Desapareceremos,Desapareceredes,Desaparecerán
Aprenderei,Aprenderás,Aprenderá,Aprenderemos,Aprenderedes,Aprenderán
Preverei,Preverás,Preverá,Preveremos,Preveredes,Preverán
Usarei,Usarás,Usará,Usaremos,Usaredes,Usarán
Oirei,Oirás,Oirá,Oiremos,Oiredes,Oirán
Apoiarei,Apoiarás,Apoiará,Apoiaremos,Apoiaredes,Apoiarán
Negarei,Negarás,Negará,Negaremos,Negaredes,Negarán
Relacionarei,Relacionarás,Relacionará,Relacionaremos,Relacionaredes,Relacionarán
Sucederá,Sucederán
Organizarei,Organizarás,Organizará,Organizaremos,Organizaredes,Organizarán
Marcarei,Marcarás,Marcará,Marcaremos,Marcaredes,Marcarán
Construirei,Construirás,Construirá,Construiremos,Construiredes,Construirán
Recuperarei,Recuperarás,Recuperará,Recuperaremos,Recuperaredes,Recuperarán
Rirei,Rirás,Rirá,Riremos,Riredes,Rirán
Comentarei,Comentarás,Comentará,Comentaremos,Comentaredes,Comentarán
Demostrarei,Demostrarás,Demostrará,Demostraremos,Demostraredes,Demostrarán
Venderei,Venderás,Venderá,Venderemos,Venderedes,Venderán
Obrigarei,Obrigarás,Obrigará,Obrigaremos,Obrigaredes,Obrigarán
Aumentarei,Aumentarás,Aumentará,Aumentaremos,Aumentaredes,Aumentarán
Abandonarei,Abandonarás,Abandonará,Abandonaremos,Abandonaredes,Abandonarán
Manifestarei,Manifestarás,Manifestará,Manifestaremos,Manifestaredes,Manifestarán
Compartirei,Compartirás,Compartirá,Compartiremos,Compartiredes,Compartirán
Fuxirei,Fuxirás,Fuxirá,Fuxiremos,Fuxiredes,Fuxirán
Iniciarei,Iniciarás,Iniciará,Iniciaremos,Iniciaredes,Iniciarán
Xurdirei,Xurdirás,Xurdirá,Xurdiremos,Xurdiredes,Xurdirán
Acudirei,Acudirás,Acudirá,Acudiremos,Acudiredes,Acudirán
Acontecerá,Acontecerán
Porei,Porás,Porá,Poremos,Poredes,Porán
Imaxinarei,Imaxinarás,Imaxinará,Imaxinaremos,Imaxinaredes,Imaxinarán
Berrarei,Berrarás,Berrará,Berraremos,Berraredes,Berrarán
Comprobarei,Comprobarás,Comprobará,Comprobaremos,Comprobaredes,Comprobarán
Atenderei,Atenderás,Atenderá,Atenderemos,Atenderedes,Atenderán
Propoñerei,Propoñerás,Propoñerá,Propoñeremos,Propoñeredes,Propoñerán
Analizarei,Analizarás,Analizará,Analizaremos,Analizaredes,Analizarán
Permanecerei,Permanecerás,Permanecerá,Permaneceremos,Permaneceredes,Permanecerán
Cubrirei,Cubrirás,Cubrirá,Cubriremos,Cubriredes,Cubrirán
Camiñarei,Camiñarás,Camiñará,Camiñaremos,Camiñaredes,Camiñarán
Insistirei,Insistirás,Insistirá,Insistiremos,Insistiredes,Insistirán
Beberei,Beberás,Beberá,Beberemos,Beberedes,Beberán
Alcanzarei,Alcanzarás,Alcanzará,Alcanzaremos,Alcanzaredes,Alcanzarán
Encherei,Encherás,Encherá,Encheremos,Encheredes,Encherán
Colocarei,Colocarás,Colocará,Colocaremos,Colocaredes,Colocarán
Procurarei,Procurarás,Procurará,Procuraremos,Procuraredes,Procurarán
Aprobarei,Aprobarás,Aprobará,Aprobaremos,Aprobaredes,Aprobarán
Notarei,Notarás,Notará,Notaremos,Notaredes,Notarán
Aplicarei,Aplicarás,Aplicará,Aplicaremos,Aplicaredes,Aplicarán
Corresponderei,Corresponderás,Corresponderá,Corresponderemos,Corresponderedes,Corresponderán
Medrarei,Medrarás,Medrará,Medraremos,Medraredes,Medrarán
Acordarei,Acordarás,Acordará,Acordaremos,Acordaredes,Acordarán
Valerei,Valerás,Valerá,Valeremos,Valeredes,Valerán
Interesarei,Interesarás,Interesará,Interesaremos,Interesaredes,Interesarán
Levantarei,Levantarás,Levantará,Levantaremos,Levantaredes,Levantarán
Preocuparei,Preocuparás,Preocupará,Preocuparemos,Preocuparedes,Preocuparán
Definirei,Definirás,Definirá,Definiremos,Definiredes,Definirán
Importarei,Importarás,Importará,Importaremos,Importaredes,Importarán
Xerarei,Xerarás,Xerará,Xeraremos,Xeraredes,Xerarán
Confirmarei,Confirmarás,Confirmará,Confirmaremos,Confirmaredes,Confirmarán
Visitarei,Visitarás,Visitará,Visitaremos,Visitaredes,Visitarán
Desexarei,Desexarás,Desexará,Desexaremos,Desexaredes,Desexarán
Mellorarei,Mellorarás,Mellorará,Melloraremos,Melloraredes,Mellorarán
Significarei,Significarás,Significará,Significaremos,Significaredes,Significarán
Entregarei,Entregarás,Entregará,Entregaremos,Entregaredes,Entregarán
Impedirei,Impedirás,Impedirá,Impediremos,Impediredes,Impedirán
Denunciarei,Denunciarás,Denunciará,Denunciaremos,Denunciaredes,Denunciarán
Cantarei,Cantarás,Cantará,Cantaremos,Cantaredes,Cantarán
Declararei,Declararás,Declarará,Declararemos,Declararedes,Declararán
Expresarei,Expresarás,Expresará,Expresaremos,Expresaredes,Expresarán
Esixirei,Esixirás,Esixirá,Esixiremos,Esixiredes,Esixirán
Convencerei,Convencerás,Convencerá,Convenceremos,Convenceredes,Convencerán
Asumirei,Asumirás,Asumirá,Asumiremos,Asumiredes,Asumirán
Unirei,Unirás,Unirá,Uniremos,Uniredes,Unirán
Dependerei,Dependerás,Dependerá,Dependeremos,Dependeredes,Dependerán
Rexistrarei,Rexistrarás,Rexistrará,Rexistraremos,Rexistraredes,Rexistrarán
Basearei,Basearás,Baseará,Basearemos,Basearedes,Basearán
Fixarei,Fixarás,Fixará,Fixaremos,Fixaredes,Fixarán
Coincidirei,Coincidirás,Coincidirá,Coincidiremos,Coincidiredes,Coincidirán
Funcionarei,Funcionarás,Funcionará,Funcionaremos,Funcionaredes,Funcionarán
Elixirei,Elixirás,Elixirá,Elixiremos,Elixiredes,Elixirán
Vestirei,Vestirás,Vestirá,Vestiremos,Vestiredes,Vestirán
Chorarei,Chorarás,Chorará,Choraremos,Choraredes,Chorarán
Sorrirei,Sorrirás,Sorrirá,Sorriremos,Sorriredes,Sorrirán
Reunirei,Reunirás,Reunirá,Reuniremos,Reuniredes,Reunirán
Preferirei,Preferirás,Preferirá,Preferiremos,Preferiredes,Preferirán
Advertirei,Advertirás,Advertirá,Advertiremos,Advertiredes,Advertirán
Avanzarei,Avanzarás,Avanzará,Avanzaremos,Avanzaredes,Avanzarán
Contestarei,Contestarás,Contestará,Contestaremos,Contestaredes,Contestarán
Calarei,Calarás,Calará,Calaremos,Calaredes,Calarán
Soarei,Soarás,Soará,Soaremos,Soaredes,Soarán
Mercarei,Mercarás,Mercará,Mercaremos,Mercaredes,Mercarán
Adoitarei,Adoitarás,Adoitará,Adoitaremos,Adoitaredes,Adoitarán
Solicitarei,Solicitarás,Solicitará,Solicitaremos,Solicitaredes,Solicitarán
Contemplarei,Contemplarás,Contemplará,Contemplaremos,Contemplaredes,Contemplarán
Deitarei,Deitarás,Deitará,Deitaremos,Deitaredes,Deitarán
Gozarei,Gozarás,Gozará,Gozaremos,Gozaredes,Gozarán
Reclamarei,Reclamarás,Reclamará,Reclamaremos,Reclamaredes,Reclamarán
Integrarei,Integrarás,Integrará,Integraremos,Integraredes,Integrarán
Cruzarei,Cruzarás,Cruzará,Cruzaremos,Cruzaredes,Cruzarán
Percorrerei,Percorrerás,Percorrerá,Percorreremos,Percorreredes,Percorrerán
Asistirei,Asistirás,Asistirá,Asistiremos,Asistiredes,Asistirán
Resolverei,Resolverás,Resolverá,Resolveremos,Resolveredes,Resolverán
Destinarei,Destinarás,Destinará,Destinaremos,Destinaredes,Destinarán
Romperei,Romperás,Romperá,Romperemos,Romperedes,Romperán
Elaborarei,Elaborarás,Elaborará,Elaboraremos,Elaboraredes,Elaborarán
Sumarei,Sumarás,Sumará,Sumaremos,Sumaredes,Sumarán
Identificarei,Identificarás,Identificará,Identificaremos,Identificaredes,Identificarán
Garantirei,Garantirás,Garantirá,Garantiremos,Garantiredes,Garantirán
Asinarei,Asinarás,Asinará,Asinaremos,Asinaredes,Asinarán
Conterei,Conterás,Conterá,Conteremos,Conteredes,Conterán
Introducirei,Introducirás,Introducirá,Introduciremos,Introduciredes,Introducirán
Facilitarei,Facilitarás,Facilitará,Facilitaremos,Facilitaredes,Facilitarán
Quitarei,Quitarás,Quitará,Quitaremos,Quitaredes,Quitarán
Decerei,Decerás,Decerá,Deceremos,Deceredes,Decerán
Conducirei,Conducirás,Conducirá,Conduciremos,Conduciredes,Conducirán
Enviarei,Enviarás,Enviará,Enviaremos,Enviaredes,Enviarán
Acusarei,Acusarás,Acusará,Acusaremos,Acusaredes,Acusarán
Partirei,Partirás,Partirá,Partiremos,Partiredes,Partirán
Centrarei,Centrarás,Centrará,Centraremos,Centraredes,Centrarán
Posuirei,Posuirás,Posuirá,Posuiremos,Posuiredes,Posuirán
