Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Repetín,Repetiches,Repetiu,Repetimos,Repetistes,Repetiron
Actuei,Actuaches,Actuou,Actuamos,Actuastes,Actuaron
Reducín,Reduciches,Reduciu,Reducimos,Reducistes,Reduciron
Desaparecín,Desapareciches,Desapareceu,Desaparecemos,Desaparecestes,Desapareceron
Aprendín,Aprendiches,Aprendeu,Aprendemos,Aprendestes,Aprenderon
Previn,Previches,Previu,Previmos,Previstes,Previron
Usei,Usaches,Usou,Usamos,Usastes,Usaron
Oín,Oíches,Oíu,Oímos,Oístes,Oíron
Apoiei,Apoiaches,Apoiou,Apoiamos,Apoiastes,Apoiaron
Neguei,Negaches,Negou,Negamos,Negastes,Negaron
Relacionei,Relacionaches,Relacionou,Relacionamos,Relacionastes,Relacionaron
Sucedeu,Sucederon
Organicei,Organizaches,Organizou,Organizamos,Organizastes,Organizaron
Marquei,Marcaches,Marcou,Marcamos,Marcastes,Marcaron
Construín,Construíches,Construíu,Construímos,Construístes,Construíron
Recuperei,Recuperaches,Recuperou,Recuperamos,Recuperastes,Recuperaron
Rín,Riches,Riu,Rimos,Ristes,Riron
Comentei,Comentaches,Comentou,Comentamos,Comentastes,Comentaron
Demostrei,Demostraches,Demostrou,Demostramos,Demostrastes,Demostraron
Vendín,Vendiches,Vendeu,Vendemos,Vendestes,Venderon
Obriguei,Obrigaches,Obrigou,Obrigamos,Obrigastes,Obrigaron
Aumentei,Aumentaches,Aumentou,Aumentamos,Aumentastes,Aumentaron
Abandonei,Abandonaches,Abandonou,Abandonamos,Abandonastes,Abandonaron
Manifestei,Manifestaches,Manifestou,Manifestamos,Manifestastes,Manifestaron
Compartín,Compartiches,Compartiu,Compartimos,Compartistes,Compartiron
Fuxín,Fuxiches,Fuxiu,Fuximos,Fuxistes,Fuxiron
Iniciei,Iniciaches,Iniciou,Iniciamos,Iniciastes,Iniciaron
Xurdín,Xurdiches,Xurdiu,Xurdimos,Xurdistes,Xurdiron
Acudín,Acudiches,Acudiu,Acudimos,Acudistes,Acudiron
Aconteceu,Aconteceron
Puxen,Puxeches,Puxo,Puxemos,Puxestes,Puxeron
Imaxinei,Imaxinaches,Imaxinou,Imaxinamos,Imaxinastes,Imaxinaron
Berrei,Berraches,Berrou,Berramos,Berrastes,Berraron
Comprobei,Comprobaches,Comprobou,Comprobamos,Comprobastes,Comprobaron
Atendín,Atendiches,Atendeu,Atendemos,Atendestes,Atenderon
Propuxen,Propuxeches,Propuxo,Propuxemos,Propuxestes,Propuxeron
Analicei,Analizaches,Analizou,Analizamos,Analizastes,Analizaron
Permanecín,Permaneciches,Permaneceu,Permanecemos,Permanecestes,Permaneceron
Cubrín,Cubriches,Cubriu,Cubrimos,Cubristes,Cubriron
Camiñei,Camiñaches,Camiñou,Camiñamos,Camiñastes,Camiñaron
Insistín,Insistiches,Insistiu,Insistimos,Insististes,Insistiron
Bebín,Bebiches,Bebeu,Bebemos,Bebestes,Beberon
Alcancei,Alcanzaches,Alcanzou,Alcanzamos,Alcanzastes,Alcanzaron
Enchín,Enchiches,Encheu,Enchemos,Enchestes,Encheron
Coloquei,Colocaches,Colocou,Colocamos,Colocastes,Colocaron
Procurei,Procuraches,Procurou,Procuramos,Procurastes,Procuraron
Aprobei,Aprobaches,Aprobou,Aprobamos,Aprobastes,Aprobaron
Notei,Notaches,Notou,Notamos,Notastes,Notaron
Apliquei,Aplicaches,Aplicou,Aplicamos,Aplicastes,Aplicaron
Correspondín,Correspondiches,Correspondeu,Correspondemos,Correspondestes,Corresponderon
Medrei,Medraches,Medrou,Medramos,Medrastes,Medraron
Acordei,Acordaches,Acordou,Acordamos,Acordastes,Acordaron
Valín,Valiches,Valeu,Valemos,Valestes,Valeron
Interesei,Interesaches,Interesou,Interesamos,Interesastes,Interesaron
Levantei,Levantaches,Levantou,Levantamos,Levantastes,Levantaron
Preocupei,Preocupaches,Preocupou,Preocupamos,Preocupastes,Preocuparon
Definín,Definiches,Definiu,Definimos,Definistes,Definiron
Importei,Importaches,Importou,Importamos,Importastes,Importaron
Xerei,Xeraches,Xerou,Xeramos,Xerastes,Xeraron
Confirmei,Confirmaches,Confirmou,Confirmamos,Confirmastes,Confirmaron
Visitei,Visitaches,Visitou,Visitamos,Visitastes,Visitaron
Desexei,Desexaches,Desexou,Desexamos,Desexastes,Desexaron
Mellorei,Melloraches,Mellorou,Melloramos,Mellorastes,Melloraron
Signifiquei,Significaches,Significou,Significamos,Significastes,Significaron
Entreguei,Entregaches,Entregou,Entregamos,Entregastes,Entregaron
Impedín,Impediches,Impediu,Impedimos,Impedistes,Impediron
Denunciei,Denunciaches,Denunciou,Denunciamos,Denunciastes,Denunciaron
Cantei,Cantaches,Cantou,Cantamos,Cantastes,Cantaron
Declarei,Declaraches,Declarou,Declaramos,Declarastes,Declararon
Expresei,Expresaches,Expresou,Expresamos,Expresastes,Expresaron
Esixín,Esixiches,Esixiu,Esiximos,Esixistes,Esixiron
Convencín,Convenciches,Convenceu,Convencemos,Convencestes,Convenceron
Asumín,Asumiches,Asumiu,Asumimos,Asumistes,Asumiron
Unín,Uniches,Uniu,Unimos,Unistes,Uniron
Dependín,Dependiches,Dependeu,Dependemos,Dependestes,Dependeron
Rexistrei,Rexistraches,Rexistrou,Rexistramos,Rexistrastes,Rexistraron
Baseei,Baseaches,Baseou,Baseamos,Baseastes,Basearon
Fixei,Fixaches,Fixou,Fixamos,Fixastes,Fixaron
Coincidín,Coincidiches,Coincidiu,Coincidimos,Coincidistes,Coincidiron
Funcionei,Funcionaches,Funcionou,Funcionamos,Funcionastes,Funcionaron
Elixín,Elixiches,Elixiu,Eliximos,Elixistes,Elixiron
Vestín,Vestiches,Vestiu,Vestimos,Vestistes,Vestiron
Chorei,Choraches,Chorou,Choramos,Chorastes,Choraron
Sorrín,Sorriches,Sorriu,Sorrimos,Sorristes,Sorriron
Reunín,Reuniches,Reuniu,Reunimos,Reunistes,Reuniron
Preferín,Preferiches,Preferiu,Preferimos,Preferistes,Preferiron
Advertín,Advertiches,Advertiu,Advertimos,Advertistes,Advertiron
Avancei,Avanzaches,Avanzou,Avanzamos,Avanzastes,Avanzaron
Contestei,Contestaches,Contestou,Contestamos,Contestastes,Contestaron
Calei,Calaches,Calou,Calamos,Calastes,Calaron
Soei,Soaches,Soou,Soamos,Soastes,Soaron
Merquei,Mercaches,Mercou,Mercamos,Mercastes,Mercaron
Adoitei,Adoitaches,Adoitou,Adoitamos,Adoitastes,Adoitaron
Solicitei,Solicitaches,Solicitou,Solicitamos,Solicitastes,Solicitaron
Contemplei,Contemplaches,Contemplou,Contemplamos,Contemplastes,Contemplaron
Deitei,Deitaches,Deitou,Deitamos,Deitastes,Deitaron
Gocei,Gozaches,Gozou,Gozamos,Gozastes,Gozaron
Reclamei,Reclamaches,Reclamou,Reclamamos,Reclamastes,Reclamaron
Integrei,Integraches,Integrou,Integramos,Integrastes,Integraron
Crucei,Cruzaches,Cruzou,Cruzamos,Cruzastes,Cruzaron
Percorrín,Percorriches,Percorreu,Percorremos,Percorrestes,Percorreron
Asistín,Asistiches,Asistiu,Asistimos,Asististes,Asistiron
Resolvín,Resolviches,Resolveu,Resolvemos,Resolvestes,Resolveron
Destinei,Destinaches,Destinou,Destinamos,Destinastes,Destinaron
Rompín,Rompiches,Rompeu,Rompemos,Rompestes,Romperon
Elaborei,Elaboraches,Elaborou,Elaboramos,Elaborastes,Elaboraron
Sumei,Sumaches,Sumou,Sumamos,Sumastes,Sumaron
Identifiquei,Identificaches,Identificou,Identificamos,Identificastes,Identificaron
Garantín,Garantiches,Garantiu,Garantimos,Garantistes,Garantiron
Asinei,Asinaches,Asinou,Asinamos,Asinastes,Asinaron
Contín,Contiches,Conteu,Contemos,Contestes,Conteron
Introducín,Introduciches,Introduciu,Introducimos,Introducistes,Introduciron
Facilitei,Facilitaches,Facilitou,Facilitamos,Facilitastes,Facilitaron
Quitei,Quitaches,Quitou,Quitamos,Quitastes,Quitaron
Decín,Deciches,Deceu,Decemos,Decestes,Deceron
Conducín,Conduciches,Conduciu,Conducimos,Conducistes,Conduciron
Enviei,Enviaches,Enviou,Enviamos,Enviastes,Enviaron
Acusei,Acusaches,Acusou,Acusamos,Acusastes,Acusaron
Partín,Partiches,Partiu,Partimos,Partistes,Partiron
Centrei,Centraches,Centrou,Centramos,Centrastes,Centraron
Posuín,Posuíches,Posuíu,Posuímos,Posuístes,Posuíron
Determinei,Determinaches,Determinou,Determinamos,Determinastes,Determinaron
Causei,Causaches,Causou,Causamos,Causastes,Causaron
Tardei,Tardaches,Tardou,Tardamos,Tardastes,Tardaron
Rexeitei,Rexeitaches,Rexeitou,Rexeitamos,Rexeitastes,Rexeitaron
Lancei,Lanzaches,Lanzou,Lanzamos,Lanzastes,Lanzaron
Exercín,Exerciches,Exerceu,Exercemos,Exercestes,Exerceron
Regresei,Regresaches,Regresou,Regresamos,Regresastes,Regresaron
Incorporei,Incorporaches,Incorporou,Incorporamos,Incorporastes,Incorporaron
Encarguei,Encargaches,Encargou,Encargamos,Encargastes,Encargaron
Sorprendín,Sorprendiches,Sorprendeu,Sorprendemos,Sorprendestes,Sorprenderon
Conservei,Conservaches,Conservou,Conservamos,Conservastes,Conservaron
Impuxen,Impuxeches,Impuxo,Impuxemos,Impuxestes,Impuxeron
Adquirín,Adquiriches,Adquiriu,Adquirimos,Adquiristes,Adquiriron
Cortei,Cortaches,Cortou,Cortamos,Cortastes,Cortaron
Consistín,Consistiches,Consistiu,Consistimos,Consististes,Consistiron
Contribuín,Contribuíches,Contribuíu,Contribuímos,Contribuístes,Contribuíron
Viaxei,Viaxaches,Viaxou,Viaxamos,Viaxastes,Viaxaron
Procedín,Procediches,Procedeu,Procedemos,Procedestes,Procederon
Concluín,Concluíches,Concluíu,Concluímos,Concluístes,Concluíron
Virei,Viraches,Virou,Viramos,Virastes,Viraron
Escollín,Escolliches,Escolleu,Escollemos,Escollestes,Escolleron
Controlei,Controlaches,Controlou,Controlamos,Controlastes,Controlaron
Loitei,Loitaches,Loitou,Loitamos,Loitastes,Loitaron
Batín,Batiches,Bateu,Batemos,Batestes,Bateron
Acollín,Acolliches,Acolleu,Acollemos,Acollestes,Acolleron
Prestei,Prestaches,Prestou,Prestamos,Prestastes,Prestaron
Impliquei,Implicaches,Implicou,Implicamos,Implicastes,Implicaron
Casei,Casaches,Casou,Casamos,Casastes,Casaron
Mudei,Mudaches,Mudou,Mudamos,Mudastes,Mudaron
Pertencín,Pertenciches,Pertenceu,Pertencemos,Pertencestes,Pertenceron
Retirei,Retiraches,Retirou,Retiramos,Retirastes,Retiraron
Salvei,Salvaches,Salvou,Salvamos,Salvastes,Salvaron
Adoptei,Adoptaches,Adoptou,Adoptamos,Adoptastes,Adoptaron
Estudei,Estudaches,Estudou,Estudamos,Estudastes,Estudaron
Convoquei,Convocaches,Convocou,Convocamos,Convocastes,Convocaron
Subliñei,Subliñaches,Subliñou,Subliñamos,Subliñastes,Subliñaron
Espertei,Espertaches,Espertou,Espertamos,Espertastes,Espertaron
Instalei,Instalaches,Instalou,Instalamos,Instalastes,Instalaron
Custei,Custaches,Custou,Custamos,Custastes,Custaron
Estendín,Estendiches,Estendeu,Estendemos,Estendestes,Estenderon
Sometín,Sometiches,Someteu,Sometemos,Sometestes,Someteron
Promovín,Promoviches,Promoveu,Promovemos,Promovestes,Promoveron
Interpretei,Interpretaches,Interpretou,Interpretamos,Interpretastes,Interpretaron
Trasladei,Trasladaches,Trasladou,Trasladamos,Trasladastes,Trasladaron
Atravesei,Atravesaches,Atravesou,Atravesamos,Atravesastes,Atravesaron
Rodeei,Rodeaches,Rodeou,Rodeamos,Rodeastes,Rodearon
Concedín,Concediches,Concedeu,Concedemos,Concedestes,Concederon
Limitei,Limitaches,Limitou,Limitamos,Limitastes,Limitaron
Couben,Coubeches,Coubo,Coubemos,Coubestes,Couberon
Merecín,Mereciches,Mereceu,Merecemos,Merecestes,Mereceron
Dubidei,Dubidaches,Dubidou,Dubidamos,Dubidastes,Dubidaron
