Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Gardase,Gardases,Gardase,Gardásemos,Gardásedes,Gardasen
Detese,Deteses,Detese,Detésemos,Detésedes,Detesen
Necesitase,Necesitases,Necesitase,Necesitásemos,Necesitásedes,Necesitasen
Apuntase,Apuntases,Apuntase,Apuntásemos,Apuntásedes,Apuntasen
Faltase,Faltases,Faltase,Faltásemos,Faltásedes,Faltasen
Aceptase,Aceptases,Aceptase,Aceptásemos,Aceptásedes,Aceptasen
Aproveitase,Aproveitases,Aproveitase,Aproveitásemos,Aproveitásedes,Aproveitasen
Afectase,Afectases,Afectase,Afectásemos,Afectásedes,Afectasen
Constituíse,Constituíses,Constituíse,Constituísemos,Constituísedes,Constituísen
Superase,Superases,Superase,Superásemos,Superásedes,Superasen
Coidase,Coidases,Coidase,Coidásemos,Coidásedes,Coidasen
Parase,Parases,Parase,Parásemos,Parásedes,Parasen
Repetise,Repetises,Repetise,Repetísemos,Repetísedes,Repetisen
Actuase,Actuases,Actuase,Actuásemos,Actuásedes,Actuasen
Reducise,Reducises,Reducise,Reducísemos,Reducísedes,Reducisen
Desaparecese,Desapareceses,Desaparecese,Desaparecésemos,Desaparecésedes,Desaparecesen
Aprendese,Aprendeses,Aprendese,Aprendésemos,Aprendésedes,Aprendesen
Previse,Previses,Previse,Prevísemos,Prevísedes,Previsen
Usase,Usases,Usase,Usásemos,Usásedes,Usasen
Oíse,Oíses,Oíse,Oísemos,Oísedes,Oísen
Apoiase,Apoiases,Apoiase,Apoiásemos,Apoiásedes,Apoiasen
Negase,Negases,Negase,Negásemos,Negásedes,Negasen
Relacionase,Relacionases,Relacionase,Relacionásemos,Relacionásedes,Relacionasen
Sucedese,Sucedesen
Organizase,Organizases,Organizase,Organizásemos,Organizásedes,Organizasen
Marcase,Marcases,Marcase,Marcásemos,Marcásedes,Marcasen
Construíse,Construíses,Construíse,Construísemos,Construísedes,Construísen
Recuperase,Recuperases,Recuperase,Recuperásemos,Recuperásedes,Recuperasen
Rise,Rises,Rise,Rísemos,Rísedes,Risen
Comentase,Comentases,Comentase,Comentásemos,Comentásedes,Comentasen
Demostrase,Demostrases,Demostrase,Demostrásemos,Demostrásedes,Demostrasen
Vendese,Vendeses,Vendese,Vendésemos,Vendésedes,Vendesen
Obrigase,Obrigases,Obrigase,Obrigásemos,Obrigásedes,Obrigasen
Aumentase,Aumentases,Aumentase,Aumentásemos,Aumentásedes,Aumentasen
Abandonase,Abandonases,Abandonase,Abandonásemos,Abandonásedes,Abandonasen
Manifestase,Manifestases,Manifestase,Manifestásemos,Manifestásedes,Manifestasen
Compartise,Compartises,Compartise,Compartísemos,Compartísedes,Compartisen
Fuxise,Fuxises,Fuxise,Fuxísemos,Fuxísedes,Fuxisen
Iniciase,Iniciases,Iniciase,Iniciásemos,Iniciásedes,Iniciasen
Xurdise,Xurdises,Xurdise,Xurdísemos,Xurdísedes,Xurdisen
Acudise,Acudises,Acudise,Acudísemos,Acudísedes,Acudisen
Acontecese,Acontecesen
Puxese,Puxeses,Puxese,Puxésemos,Puxésedes,Puxesen
Imaxinase,Imaxinases,Imaxinase,Imaxinásemos,Imaxinásedes,Imaxinasen
Berrase,Berrases,Berrase,Berrásemos,Berrásedes,Berrasen
Comprobase,Comprobases,Comprobase,Comprobásemos,Comprobásedes,Comprobasen
Atendese,Atendeses,Atendese,Atendésemos,Atendésedes,Atendesen
Propuxese,Propuxeses,Propuxese,Propuxésemos,Propuxésedes,Propuxesen
Analizase,Analizases,Analizase,Analizásemos,Analizásedes,Analizasen
Permanecese,Permaneceses,Permanecese,Permanecésemos,Permanecésedes,Permanecesen
Cubrise,Cubrises,Cubrise,Cubrísemos,Cubrísedes,Cubrisen
Camiñase,Camiñases,Camiñase,Camiñásemos,Camiñásedes,Camiñasen
Insistise,Insistises,Insistise,Insistísemos,Insistísedes,Insistisen
Bebese,Bebeses,Bebese,Bebésemos,Bebésedes,Bebesen
Alcanzase,Alcanzases,Alcanzase,Alcanzásemos,Alcanzásedes,Alcanzasen
Enchese,Encheses,Enchese,Enchésemos,Enchésedes,Enchesen
Colocase,Colocases,Colocase,Colocásemos,Colocásedes,Colocasen
Procurase,Procurases,Procurase,Procurásemos,Procurásedes,Procurasen
Aprobase,Aprobases,Aprobase,Aprobásemos,Aprobásedes,Aprobasen
Notase,Notases,Notase,Notásemos,Notásedes,Notasen
Aplicase,Aplicases,Aplicase,Aplicásemos,Aplicásedes,Aplicasen
Correspondese,Correspondeses,Correspondese,Correspondésemos,Correspondésedes,Correspondesen
Medrase,Medrases,Medrase,Medrásemos,Medrásedes,Medrasen
Acordase,Acordases,Acordase,Acordásemos,Acordásedes,Acordasen
Valese,Valeses,Valese,Valésemos,Valésedes,Valesen
Interesase,Interesases,Interesase,Interesásemos,Interesásedes,Interesasen
Levantase,Levantases,Levantase,Levantásemos,Levantásedes,Levantasen
Preocupase,Preocupases,Preocupase,Preocupásemos,Preocupásedes,Preocupasen
Definise,Definises,Definise,Definísemos,Definísedes,Definisen
Importase,Importases,Importase,Importásemos,Importásedes,Importasen
Xerase,Xerases,Xerase,Xerásemos,Xerásedes,Xerasen
Confirmase,Confirmases,Confirmase,Confirmásemos,Confirmásedes,Confirmasen
Visitase,Visitases,Visitase,Visitásemos,Visitásedes,Visitasen
Desexase,Desexases,Desexase,Desexásemos,Desexásedes,Desexasen
Mellorase,Mellorases,Mellorase,Mellorásemos,Mellorásedes,Mellorasen
Significase,Significases,Significase,Significásemos,Significásedes,Significasen
Entregase,Entregases,Entregase,Entregásemos,Entregásedes,Entregasen
Impedise,Impedises,Impedise,Impedísemos,Impedísedes,Impedisen
Denunciase,Denunciases,Denunciase,Denunciásemos,Denunciásedes,Denunciasen
Cantase,Cantases,Cantase,Cantásemos,Cantásedes,Cantasen
Declarase,Declarases,Declarase,Declarásemos,Declarásedes,Declarasen
Expresase,Expresases,Expresase,Expresásemos,Expresásedes,Expresasen
Esixise,Esixises,Esixise,Esixísemos,Esixísedes,Esixisen
Convencese,Convenceses,Convencese,Convencésemos,Convencésedes,Convencesen
Asumise,Asumises,Asumise,Asumísemos,Asumísedes,Asumisen
Unise,Unises,Unise,Unísemos,Unísedes,Unisen
Dependese,Dependeses,Dependese,Dependésemos,Dependésedes,Dependesen
Rexistrase,Rexistrases,Rexistrase,Rexistrásemos,Rexistrásedes,Rexistrasen
Basease,Baseases,Basease,Baseásemos,Baseásedes,Baseasen
Fixase,Fixases,Fixase,Fixásemos,Fixásedes,Fixasen
Coincidise,Coincidises,Coincidise,Coincidísemos,Coincidísedes,Coincidisen
Funcionase,Funcionases,Funcionase,Funcionásemos,Funcionásedes,Funcionasen
Elixise,Elixises,Elixise,Elixísemos,Elixísedes,Elixisen
Vestise,Vestises,Vestise,Vestísemos,Vestísedes,Vestisen
Chorase,Chorases,Chorase,Chorásemos,Chorásedes,Chorasen
Sorrise,Sorrises,Sorrise,Sorrísemos,Sorrísedes,Sorrisen
Reunise,Reunises,Reunise,Reunísemos,Reunísedes,Reunisen
Preferise,Preferises,Preferise,Preferísemos,Preferísedes,Preferisen
Advertise,Advertises,Advertise,Advertísemos,Advertísedes,Advertisen
Avanzase,Avanzases,Avanzase,Avanzásemos,Avanzásedes,Avanzasen
Contestase,Contestases,Contestase,Contestásemos,Contestásedes,Contestasen
Calase,Calases,Calase,Calásemos,Calásedes,Calasen
Soase,Soases,Soase,Soásemos,Soásedes,Soasen
Mercase,Mercases,Mercase,Mercásemos,Mercásedes,Mercasen
Adoitase,Adoitases,Adoitase,Adoitásemos,Adoitásedes,Adoitasen
Solicitase,Solicitases,Solicitase,Solicitásemos,Solicitásedes,Solicitasen
Contemplase,Contemplases,Contemplase,Contemplásemos,Contemplásedes,Contemplasen
Deitase,Deitases,Deitase,Deitásemos,Deitásedes,Deitasen
Gozase,Gozases,Gozase,Gozásemos,Gozásedes,Gozasen
Reclamase,Reclamases,Reclamase,Reclamásemos,Reclamásedes,Reclamasen
Integrase,Integrases,Integrase,Integrásemos,Integrásedes,Integrasen
Cruzase,Cruzases,Cruzase,Cruzásemos,Cruzásedes,Cruzasen
Percorrese,Percorreses,Percorrese,Percorrésemos,Percorrésedes,Percorresen
Asistise,Asistises,Asistise,Asistísemos,Asistísedes,Asistisen
